data,method,cl,hl,mae,mse,wape,smape,inf_time,mae_scl,mse_scl,wape_scl,smape_scl
Etth1,TimesFM,96,96,1.9137,6.8742,29.55,43.52,10.257715225219727,0.2292,0.0986,19.33,23.44
Etth1,TimesFM,96,192,2.4917,11.441,38.47,51.36,9.987782716751099,0.2985,0.1642,25.16,30.41
Etth1,TimesFM,96,336,2.1459,7.8906,33.13,42.85,8.753246784210205,0.257,0.1132,21.67,25.47
Etth1,TimesFM,96,720,2.734,12.5955,42.21,49.73,8.517289161682129,0.3275,0.1807,27.61,32.56
Etth2,TimesFM,96,96,3.9907,28.7299,18.59,23.61,9.947823286056519,0.35,0.2209,34.66,59.84
Etth2,TimesFM,96,192,4.8798,42.188,22.73,29.47,10.031788110733032,0.4279,0.3244,42.39,66.25
Etth2,TimesFM,96,336,4.7938,36.2831,22.33,30.12,8.581270217895508,0.4204,0.279,41.64,71.74
Etth2,TimesFM,96,720,6.0987,64.8941,28.41,35.93,8.808151483535767,0.5348,0.499,52.98,66.55
Ettm1,TimesFM,96,96,1.3696,3.5232,21.15,31.36,40.23120355606079,0.1641,0.0506,13.83,17.5
Ettm1,TimesFM,96,192,1.7986,5.8431,27.78,38.06,40.53529143333435,0.2155,0.0839,18.17,22.08
Ettm1,TimesFM,96,336,2.0772,7.2786,32.08,41.16,34.45208144187927,0.2489,0.1045,20.98,25.52
Ettm1,TimesFM,96,720,2.4069,10.043,37.17,52.58,33.12084484100342,0.2884,0.1442,24.31,27.55
Ettm2,TimesFM,96,96,4.3538,39.1288,20.28,26.61,40.59128785133362,0.3819,0.3011,37.81,60.97
Ettm2,TimesFM,96,192,4.7645,43.4191,22.19,29.67,39.131452322006226,0.4179,0.3341,41.38,66.36
Ettm2,TimesFM,96,336,5.7623,62.5979,26.84,31.96,34.678220987319946,0.5054,0.4816,50.05,70.91
Ettm2,TimesFM,96,720,7.9655,131.1018,37.11,39.82,32.1252875328064,0.6987,1.0087,69.18,85.44
Electricity,TimesFM,96,96,271.6951,147412.17,8.29,8.09,15.396576166152954,0.49,0.4796,61.15,82.88
Electricity,TimesFM,96,192,233.8059,111432.83,7.14,6.9,15.798197031021118,0.4217,0.3625,52.62,76.26
Electricity,TimesFM,96,336,243.9688,112570.39,7.45,7.41,13.514721632003784,0.44,0.3662,54.91,78.98
Electricity,TimesFM,96,720,256.5275,126692.195,7.83,7.65,12.18421459197998,0.4627,0.4122,57.74,81.67
Exchange,TimesFM,96,96,0.0127,0.0003,1.66,1.67,4.421122074127197,0.2291,0.0833,8.91,9.95
Exchange,TimesFM,96,192,0.0185,0.0005,2.4,2.44,4.460963487625122,0.3324,0.1737,12.93,14.97
Exchange,TimesFM,96,336,0.0229,0.0009,2.97,3.02,3.912402629852295,0.4113,0.3018,16.0,18.03
Exchange,TimesFM,96,720,0.0443,0.003,5.75,5.83,4.2351906299591064,0.7954,0.9664,30.94,33.8
Solar,TimesFM,96,96,7.3841,168.321,102.07,143.01,30.8559832572937,0.6267,1.2123,74.83,74.52
Solar,TimesFM,96,192,7.5019,172.3128,103.7,156.77,30.7529513835907,0.6367,1.2411,76.03,75.62
Solar,TimesFM,96,336,7.5795,171.1055,104.78,149.63,25.661824226379395,0.6432,1.2324,76.81,77.43
Solar,TimesFM,96,720,7.9447,172.272,109.82,131.71,24.288726568222046,0.6742,1.2408,80.51,83.12
Weather,TimesFM,96,96,10.8713,280.3842,2.51,2.49,31.262733221054077,0.0283,0.0019,46.83,58.12
Weather,TimesFM,96,192,11.2881,274.1082,2.6,2.58,31.276777029037476,0.0294,0.0019,48.62,62.34
Weather,TimesFM,96,336,12.4359,351.3192,2.87,2.85,26.90953230857849,0.0324,0.0024,53.57,66.58
Weather,TimesFM,96,720,15.701,474.4664,3.62,3.58,23.708486557006836,0.0409,0.0032,67.63,75.67
Etth1,TimesFM,96,96,1.9137,6.8742,29.55,43.52,10.29067063331604,0.2292,0.0986,19.33,23.44
Etth1,TimesFM,96,192,2.4917,11.441,38.47,51.36,10.112401247024536,0.2985,0.1642,25.16,30.41
Etth1,TimesFM,96,336,2.1459,7.8906,33.13,42.85,8.497157096862793,0.257,0.1132,21.67,25.47
Etth1,TimesFM,96,720,2.734,12.5955,42.21,49.73,8.793240308761597,0.3275,0.1807,27.61,32.56
Etth2,TimesFM,96,96,3.9907,28.7299,18.59,23.61,10.25519347190857,0.35,0.2209,34.66,59.84
Etth2,TimesFM,96,192,4.8798,42.188,22.73,29.47,10.267016887664795,0.4279,0.3244,42.39,66.25
Etth2,TimesFM,96,336,4.7938,36.2831,22.33,30.12,8.610138893127441,0.4204,0.279,41.64,71.74
Etth2,TimesFM,96,720,6.0987,64.8941,28.41,35.93,8.796787977218628,0.5348,0.499,52.98,66.55
Ettm1,TimesFM,96,96,1.3696,3.5232,21.15,31.36,39.20163011550903,0.1641,0.0506,13.83,17.5
Ettm1,TimesFM,96,192,1.7986,5.8431,27.78,38.06,38.72177290916443,0.2155,0.0839,18.17,22.08
Ettm1,TimesFM,96,336,2.0772,7.2786,32.08,41.16,33.83812952041626,0.2489,0.1045,20.98,25.52
Ettm1,TimesFM,96,720,2.4069,10.043,37.17,52.58,32.1809446811676,0.2884,0.1442,24.31,27.55
Ettm2,TimesFM,96,96,4.3538,39.1288,20.28,26.61,40.43603301048279,0.3819,0.3011,37.81,60.97
Ettm2,TimesFM,96,192,4.7645,43.4191,22.19,29.67,39.93825888633728,0.4179,0.3341,41.38,66.36
Ettm2,TimesFM,96,336,5.7623,62.5979,26.84,31.96,33.85521841049194,0.5054,0.4816,50.05,70.91
Ettm2,TimesFM,96,720,7.9655,131.1018,37.11,39.82,32.690889835357666,0.6987,1.0087,69.18,85.44
Electricity,TimesFM,96,96,271.6951,147412.17,8.29,8.09,15.506076097488403,0.49,0.4796,61.15,82.88
Electricity,TimesFM,96,192,233.8059,111432.83,7.14,6.9,15.410138130187988,0.4217,0.3625,52.62,76.26
Electricity,TimesFM,96,336,243.9688,112570.39,7.45,7.41,13.108805418014526,0.44,0.3662,54.91,78.98
Electricity,TimesFM,96,720,256.5275,126692.195,7.83,7.65,11.66623568534851,0.4627,0.4122,57.74,81.67
Exchange,TimesFM,96,96,0.0127,0.0003,1.66,1.67,4.517165184020996,0.2291,0.0833,8.91,9.95
Exchange,TimesFM,96,192,0.0185,0.0005,2.4,2.44,4.613592147827148,0.3324,0.1737,12.93,14.97
Exchange,TimesFM,96,336,0.0229,0.0009,2.97,3.02,4.016693115234375,0.4113,0.3018,16.0,18.03
Exchange,TimesFM,96,720,0.0443,0.003,5.75,5.83,4.741544008255005,0.7954,0.9664,30.94,33.8
Solar,TimesFM,96,96,7.3841,168.321,102.07,143.01,31.544780492782593,0.6267,1.2123,74.83,74.52
Solar,TimesFM,96,192,7.5019,172.3128,103.7,156.77,31.429919481277466,0.6367,1.2411,76.03,75.62
Solar,TimesFM,96,336,7.5795,171.1055,104.78,149.63,26.369611978530884,0.6432,1.2324,76.81,77.43
Solar,TimesFM,96,720,7.9447,172.272,109.82,131.71,24.023359298706055,0.6742,1.2408,80.51,83.12
Weather,TimesFM,96,96,10.8713,280.3842,2.51,2.49,30.52830195426941,0.0283,0.0019,46.83,58.12
Weather,TimesFM,96,192,11.2881,274.1082,2.6,2.58,30.169374704360962,0.0294,0.0019,48.62,62.34
Weather,TimesFM,96,336,12.4359,351.3192,2.87,2.85,26.177215337753296,0.0324,0.0024,53.57,66.58
Weather,TimesFM,96,720,15.701,474.4664,3.62,3.58,23.781043529510498,0.0409,0.0032,67.63,75.67
