True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Composite,0.9997627684986004,0.9952028938900227,0.8687676000958713,48,50,48.0,96.0,500,0.380384199201913,4.8194611226527765e-05,19.170892584502838,4.614037392067346,1.2300393165618186,,,
R2,Seasonal,0.8900659673209698,0.996252322835118,0.9294162983925627,48,50,48.0,96.0,500,0.0,0.0,22.661961267148953,7.954190801106171,1.359941567269101,,,
R3,Stationary_AR,0.07608779982434244,0.4183465572459356,0.5014999948895853,None,50,,,500,0.0,0.0,0.0,0.0,5.0,0.42569747487892917,,
R4,Trending_ExponentialGrowth,0.9814854963278458,0.39230076474462694,0.4154288038743448,None,24,,,500,,,0.0,0.0,1.372753839566128,,,
R1,Composite,0.9983855821652294,0.9980088945825414,0.9615822374345843,36,36,36.0,72.0,500,0.11731087852476967,-3.308490344153283e-05,18.574672560306894,7.954653736248674,0.8863231730764659,,,
R2,Seasonal,0.7898290441078997,0.9964200145096253,0.847288128198717,36,36,36.0,72.0,500,0.0,0.0,26.656638037381516,6.899450580926633,1.795462131944924,,,
R3,Stationary_WN,0.33607421066244625,0.28444356546951133,0.26318392931781154,None,4,,,500,0.0,0.0,0.0,0.0,6.259551963793583,,,
R4,Trending_RandomWalkDrift,0.9994045092106637,0.6405062829175137,0.8476436685437269,None,24,,,500,,,0.0,0.0,0.8440916178494421,,,-0.30821753492194337
R1,Composite,0.9997304374899609,0.9961778378185648,0.9605902186513816,12,12,12.0,24.0,500,-0.183702487104339,3.8360060453055185e-05,8.934427216276974,5.4712509092211885,0.5825721580352772,,,
R2,Seasonal,0.8485304147538368,0.9971832454527917,0.8563030835422174,12,12,12.0,24.0,500,0.0,0.0,28.943058720127095,7.251701743616578,1.6577540528451649,,,
R3,Stationary_WN,0.17791108517987275,0.4015211059579499,0.32764554816035285,None,11,,,500,0.0,0.0,0.0,0.0,9.74721127128213,,,
R4,Trending_RandomWalkDrift,0.9997313543821675,0.5981580607873456,0.8516939251058635,None,24,,,500,,,0.0,0.0,1.3194278536703652,,,0.46223285502925293
R1,Composite,0.9987809423236633,0.9962025882659824,0.5622085584330041,24,24,24.0,48.0,500,0.2037485710928782,-2.1910166146889776e-05,22.266535201670802,2.1919667608659483,1.4401798347292414,,,
R2,Seasonal,0.9157441442192098,0.9985393802205379,0.9375932968903506,24,24,24.0,48.0,500,0.0,0.0,23.760610379039626,6.554535040170992,0.8783036032389964,,,
R3,Stationary_AR,0.10540251541958601,0.5597917936821623,0.6164916882114455,None,71,,,500,0.0,0.0,0.0,0.0,5.0,0.6817327662198067,,
R4,Trending_ExponentialGrowth,0.999794804329241,0.3825925887788223,0.4439770660282454,None,24,,,500,,,0.0,0.0,0.7427149867985832,,,
R1,Composite,0.9996941645263365,0.9950283389266333,0.8032424311458396,36,36,36.0,72.0,500,0.268869947907037,-1.9492708168155643e-05,13.019430711461556,3.1612602394374356,1.0538402922287362,,,
R2,Seasonal,0.7606163377572628,0.9887244855152973,0.8193362363869211,36,36,36.0,72.0,500,0.0,0.0,15.031979395296505,6.175720862224661,1.5810018011902092,,,
R3,Stationary_WN,0.4774621679460317,0.2547221355899866,0.34600128327156154,None,3,,,500,0.0,0.0,0.0,0.0,6.066192728054235,,,
R4,Trending_MeanShift,0.9997717409839115,0.9990778932947507,0.0,None,250,,,500,,,0.0,0.0,0.7520056712113828,,250.0,
R1,Composite,0.9982788564485604,0.9970943814663977,0.8034549390842793,36,36,36.0,72.0,500,-0.1551216777527284,1.2610799698013101e-05,23.655064683113316,4.063763681501405,1.4081320565606308,,,
R2,Seasonal,0.9097101110889896,0.9885465809335527,0.9265863946406844,36,36,36.0,72.0,500,0.0,0.0,12.871549268971904,9.288216465874937,1.492161257676162,,,
R3,Stationary_AR,0.401040216320103,0.47338781615985226,0.58853274129755,None,24,,,500,0.0,0.0,0.0,0.0,5.0,0.5910162535409176,,
R4,Trending_MeanShift,0.9992059088689847,0.9967969853799992,0.0,None,250,,,500,,,0.0,0.0,1.002531684257075,,250.0,
R1,Composite,0.9998936878087594,0.991809064228792,0.9511942074418539,12,12,12.0,24.0,500,-0.3863066035974534,-2.8126936475755294e-05,9.232476098085927,7.371793026253682,0.9437353625586046,,,
R2,Seasonal,0.8314731086193775,0.9965479830445227,0.8500644471463628,12,12,12.0,24.0,500,0.0,0.0,21.17664635109635,5.412009780144445,1.41554265398286,,,
R3,Stationary_AR,0.07520777259863465,0.5491178258126375,0.5863306327832192,None,71,,,500,0.0,0.0,0.0,0.0,5.0,0.42120045709242354,,
R4,Trending_ExponentialGrowth,0.9977503334954257,0.3263657082152941,0.386626653563922,None,24,,,500,,,0.0,0.0,0.821179258967464,,,
R1,Composite,0.9999233579982298,0.9987554796139518,0.9645921126617685,36,36,36.0,72.0,500,0.3235424645261436,4.556346333307463e-05,17.473718576355175,6.1064144123878314,0.6376702642610065,,,
R2,Seasonal,0.9870740248202909,0.9984464008870766,0.9892586209249941,36,36,36.0,72.0,500,0.0,0.0,15.303744795423558,11.132150528851472,0.6071414700994037,,,
R3,Stationary_AR,0.004596657455555597,0.8598609795961799,0.3772052094029654,None,250,,,500,0.0,0.0,0.0,0.0,5.0,0.6537878096269037,,
R4,Trending_RandomWalkDrift,0.999742617224034,0.9793461093650565,0.9495776101836959,None,125,,,500,,,0.0,0.0,1.3579634319990053,,,0.34176113268434827
R1,Composite,0.9998986032833244,0.998492862457207,0.907332607075813,24,24,24.0,48.0,500,-0.35274725921059724,2.5925971357373212e-05,17.75343624497723,3.928697108254145,0.7569485115808476,,,
R2,Seasonal,0.9765529997407728,0.9983256230000471,0.9813368061232471,24,24,24.0,48.0,500,0.0,0.0,11.810976205831361,6.821152249093834,0.5763861614400514,,,
R3,Stationary_AR,0.4540416484249866,0.5135510764636919,0.7203033141154005,None,31,,,500,0.0,0.0,0.0,0.0,5.0,0.6951286403706706,,
R4,Trending_RandomWalkDrift,0.9983683260694296,0.7092324775974481,0.9218795326507687,None,24,,,500,,,0.0,0.0,0.6544603605534657,,,0.17622449611429467
R1,Composite,0.9979748719455227,0.9953215727814897,0.7098145998340852,12,12,12.0,24.0,500,-0.11464988008891859,4.902532261462022e-05,12.217024581720395,2.232020264112861,0.8188218961060588,,,
R2,Seasonal,0.9702675971984924,0.9992483738639814,0.9688076585336589,12,12,12.0,24.0,500,0.0,0.0,24.674186189952643,7.61344129829263,0.7386814143079333,,,
