True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Composite,0.9981413381098587,0.9530657027138725,0.0,48,50,48.0,96.0,500,-0.25344457041413126,-2.694986525850173e-05,10.42431162707452,2.603601355249503,1.0876691832461736,,,
R2,Seasonal,0.6238389191487022,0.9578576330003725,0.0,48,50,48.0,96.0,500,0.0,0.0,24.46335453718199,8.113614724841682,1.300183651648183,,,
R3,Stationary_AR,0.13181169817687544,0.3395805124724448,0.0,None,17,,,500,0.0,0.0,0.0,0.0,5.0,0.4406777078279986,,
R4,Trending_ExponentialGrowth,0.9987986107716884,0.283337467429972,0.0,None,24,,,500,,,0.0,0.0,1.3900064526891112,,,
R1,Composite,0.9984289179985545,0.9168198930390826,0.0,48,50,48.0,96.0,500,-0.35017820012078005,1.3014800765345328e-05,9.02150767322108,4.584869116876793,0.6963778454710617,,,
R2,Seasonal,0.019007169551140013,0.9765238743682664,0.0,48,100,48.0,96.0,500,0.0,0.0,13.00847998961709,10.601204939908975,1.2568587341032362,,,
R3,Stationary_AR,0.17527675038442803,0.2525343528988109,0.0,None,24,,,500,0.0,0.0,0.0,0.0,5.0,0.6922147207168569,,
R4,Trending_MeanShift,0.9999469642514428,0.9997878873698929,0.0,None,250,,,500,,,0.0,0.0,1.343844955121721,,250.0,
R1,Composite,0.9953268946885429,0.975712591858875,0.0,48,50,48.0,96.0,500,-0.24840867629973337,-3.8836769362304204e-05,23.456402328125776,3.820220190554263,1.318172558323916,,,
R2,Seasonal,0.6561940653478947,0.8873338670435211,0.0,48,50,48.0,96.0,500,0.0,0.0,19.262692276234134,11.350836550881212,1.9450432458580365,,,
R3,Stationary_AR,0.008723031516916557,0.508706145959396,0.0,None,167,,,500,0.0,0.0,0.0,0.0,5.0,0.621286746618706,,
R4,Trending_ExponentialGrowth,0.9986228988022852,0.2551442501146445,0.0,None,24,,,500,,,0.0,0.0,1.198460339868971,,,
R1,Composite,0.9961197580721078,0.9914661939850069,0.0,12,12,12.0,24.0,500,-0.17206744989795136,1.676236603800883e-05,22.575642230515804,3.83394375046215,0.7373358402410287,,,
R2,Seasonal,0.012005574656778317,0.9859163650653953,0.0,12,24,12.0,24.0,500,0.0,0.0,12.821885579182457,11.137477862118148,1.6426479973329575,,,
R3,Stationary_AR,0.2089172364607823,0.23454230703078516,0.0,None,13,,,500,0.0,0.0,0.0,0.0,5.0,0.47109758972438354,,
R4,Trending_MeanShift,0.9999724662590457,0.9998902517118994,0.0,None,250,,,500,,,0.0,0.0,0.7961394577868439,,250.0,
R1,Composite,0.9970208115890002,0.97945864377204,0.0,36,36,36.0,72.0,500,-0.2800194025677951,-2.2590522255940543e-05,22.50124426916549,6.181608698099205,0.548925843604525,,,
