True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P
R1,Trend_Seasonality,0.998856559021393,0.9849100448578432,0.8722943362192909,48,50
R2,Seasonality,0.9643685049660436,0.99899875048825,0.9751466630974005,48,50
R3,Stationary_AR,0.023373485353562096,0.6761171772855621,0.6279540867612095,None,100
R4,Trend_MeanShift,0.999892398179164,0.9995671172773073,0.0,None,250
R1,Trend_Seasonality,0.9987243941235863,0.9984152352830783,0.9167761739096137,24,24
R2,Seasonality,0.8494182737279181,0.9962491165114543,0.8918202126591352,24,24
R3,Stationary_WN,0.536827809157175,0.1373412306669216,0.2930397940349423,None,2
R4,Trend_MeanShift,0.9998845731725715,0.9995312459550899,0.0,None,250
R1,Trend_Seasonality,0.9998017931638846,0.9950276718396145,0.8434203960404488,24,24
R2,Seasonality,0.8827275211814972,0.9862822131965729,0.9142935245111435,24,24
R3,Stationary_AR,0.07407514650182934,0.5776810325498903,0.6266989074842495,None,56
R4,Trend_ExponentialGrowth,0.9999564719950846,0.9998861937682598,0.0,None,249
R1,Trend_Seasonality,0.9993162005652225,0.9757196755242058,0.8626500129499867,48,50
R2,Seasonality,0.25920193349570375,0.9994182004045317,0.9607783972565924,48,100
R3,Stationary_WN,0.509742017787657,0.10059084881827074,0.25326971571577817,None,2
R4,Trend_MeanShift,0.999805255688467,0.999226420315661,0.0,None,250
R1,Trend_Seasonality,0.9998318837058726,0.9956400265345364,0.9331315947370997,24,24
R2,Seasonality,0.97049180604309,0.9948605390815408,0.9772843397916902,24,24
R3,Stationary_AR,0.4274505420443373,0.6115971492992734,0.6697708386034915,None,25
R4,Trend_MeanShift,0.9999738742707001,0.9998957678669529,0.0,None,250
R1,Trend_Seasonality,0.9982115982624591,0.9977319050163912,0.893655297433713,24,24
R2,Seasonality,0.6731688425658902,0.9935025642692145,0.778936053718347,24,24
R3,Stationary_WN,0.2709373197793832,0.35242335130158675,0.3165667271835855,None,5
R4,Trend_RandomWalkDrift,0.99999858106067,0.9999869997608232,0.0,None,249
R1,Trend_Seasonality,0.9999207316494348,0.9969238205910678,0.8886056649256251,36,36
R2,Seasonality,0.7450516713684986,0.9917604559727792,0.8187379632796989,36,36
R3,Stationary_AR,0.27601401520677415,0.6569360281007115,0.7009179689422154,None,24
R4,Trend_ExponentialGrowth,0.9999662193178425,0.9998272052534448,0.0,None,249
R1,Trend_Seasonality,0.9998231581587272,0.9981943680131047,0.9561046949353608,36,36
R2,Seasonality,0.9237222466706287,0.9937542418534457,0.93551026475911,36,36
