True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Composite,0.9999481333008984,0.9985231783800194,0.9633592953483902,12,12,12.0,24.0,500,0.3677086002414821,4.508194557163664e-05,14.856526464830468,5.88358578690748,0.5729247088043106,,,
R2,Seasonal,0.9343647028470053,0.9984014217454688,0.9296433541911889,12,12,12.0,24.0,500,0.0,0.0,23.961501372983527,6.910164765186463,1.0768573930571352,,,
R3,Stationary_AR,0.23929252588098515,0.4041779394995695,0.5717287040101251,None,45,,,500,0.0,0.0,0.0,0.0,5.0,0.4370708218655707,,
R4,Trending_MeanShift,0.999450281254117,0.9976950608024858,0.0,None,250,,,500,,,0.0,0.0,1.3595158745870242,,250.0,
R1,Composite,0.9997657707056758,0.9989588153447686,0.9442196271957712,12,12,12.0,24.0,500,-0.2356445673623577,2.986976559388759e-05,21.466027174382212,5.6422608116829505,0.7671991101293282,,,
R2,Seasonal,0.8758519671258607,0.997408237258237,0.8754843265924969,12,12,12.0,24.0,500,0.0,0.0,20.514949655193547,5.347000765328382,1.0665470175081835,,,
R3,Stationary_WN,0.5211267118905688,0.10373531183882956,0.24117232079486128,None,2,,,500,0.0,0.0,0.0,0.0,9.126799835695957,,,
R4,Trending_RandomWalkDrift,0.989542100056477,0.5878608867583324,0.891134273187877,None,24,,,500,,,0.0,0.0,0.7618097958177712,,,-0.1366507805223523
R1,Composite,0.9998175413281633,0.9934916863883325,0.9590541662142644,36,36,36.0,72.0,500,-0.2784345829034626,3.732878166275194e-05,8.994089474947037,6.5986437667420095,0.7944710041523553,,,
R2,Seasonal,0.8608543046383019,0.9958921074712307,0.8991952252879779,36,36,36.0,72.0,500,0.0,0.0,26.48939251241522,9.25824696515204,1.8838110050694343,,,
R3,Stationary_AR,0.03401469877080632,0.709161600452989,0.7054330759500094,None,100,,,500,0.0,0.0,0.0,0.0,5.0,0.689920542919551,,
R4,Trending_ExponentialGrowth,0.9842727042343461,0.2945428665766675,0.25466405524341573,None,24,,,500,,,0.0,0.0,1.3937921633537154,,,
R1,Composite,0.9997732484707281,0.9970662797012195,0.8964264493431946,24,24,24.0,48.0,500,0.39964411034836045,-3.235573249932783e-05,21.51750581302872,6.163985598776074,1.3390968061036554,,,
R2,Seasonal,0.8679153580901204,0.9972708928688333,0.9064358242223118,24,24,24.0,48.0,500,0.0,0.0,17.280471095428833,5.0862653744898925,0.8752678727150399,,,
R3,Stationary_WN,0.24692817404583556,0.33809644018786056,0.2664889789016215,None,6,,,500,0.0,0.0,0.0,0.0,14.163888564445498,,,
R4,Trending_MeanShift,0.9999608127064317,0.9998433039110884,0.0,None,250,,,500,,,0.0,0.0,1.2421742727445337,,250.0,
R1,Composite,0.9995178526071032,0.99051778928553,0.8537439355971878,36,36,36.0,72.0,500,0.29768087757701667,1.5449681273513925e-05,13.967402686044071,5.8559736109377525,1.4046866829428448,,,
R2,Seasonal,0.9587031689657151,0.9953121585097424,0.9655411795367302,36,36,36.0,72.0,500,0.0,0.0,15.955446951581628,11.186385100343102,1.2839987029586586,,,
R3,Stationary_WN,0.4516608470505328,0.03586449996927066,0.24412753636933027,None,2,,,500,0.0,0.0,0.0,0.0,7.610976714622613,,,
R4,Trending_MeanShift,0.9988583709141776,0.995592730509141,0.0,None,250,,,500,,,0.0,0.0,1.4729283498486168,,250.0,
R1,Composite,0.9998177168183839,0.9977837743536531,0.7373623743435442,12,12,12.0,24.0,500,0.36209262188502034,-3.782456922930365e-05,20.01453714491857,2.8913170818042557,0.9668197091595249,,,
R2,Seasonal,0.6684994583218888,0.9786596815294791,0.7239730008201736,12,12,12.0,24.0,500,0.0,0.0,12.51683126427521,5.306925889962826,1.994378103077322,,,
R3,Stationary_WN,0.4524955863103841,0.19336572481607572,0.3657595698534266,None,3,,,500,0.0,0.0,0.0,0.0,9.919974784904557,,,
R4,Trending_ExponentialGrowth,0.9965559968624826,0.45456471141678356,0.4432124518455508,None,24,,,500,,,0.0,0.0,0.6265659460407468,,,
R1,Composite,0.9993922550227207,0.9952694450342007,0.7749403350203243,12,12,12.0,24.0,500,0.22914625924301416,4.54630928704912e-05,18.30460050634453,4.140544492284752,1.3759023705299025,,,
R2,Seasonal,0.9340230216727852,0.9955554940257166,0.9337110300235749,12,12,12.0,24.0,500,0.0,0.0,23.45416541771777,11.519314325045574,1.6563961848729483,,,
R3,Stationary_AR,0.31316649350579195,0.3868220691527473,0.40287504955772446,None,12,,,500,0.0,0.0,0.0,0.0,5.0,0.4609544320873326,,
R4,Trending_RandomWalkDrift,0.9996315195835307,0.7757715710603423,0.9124338532736522,None,24,,,500,,,0.0,0.0,0.5324516031758246,,,0.2696424963198616
R1,Composite,0.9996659299920796,0.9934633349179582,0.7594598375399052,36,36,36.0,72.0,500,0.2702814972195746,1.9587954448846916e-05,12.776833932047763,3.1777014267856236,1.0607893556415366,,,
R2,Seasonal,0.9181885639125069,0.9977332430348544,0.9349336828670246,36,36,36.0,72.0,500,0.0,0.0,13.058247604642322,4.466661409267917,0.6767637117601657,,,
R3,Stationary_AR,0.07210251419854763,0.33002983643540396,0.5549419660105606,None,56,,,500,0.0,0.0,0.0,0.0,5.0,0.4978754002973625,,
R4,Trending_MeanShift,0.9998729885633559,0.999485999780493,0.0,None,250,,,500,,,0.0,0.0,0.7243754071617423,,250.0,
R1,Composite,0.9998801324264477,0.9983210169548734,0.9786403920922871,36,36,36.0,72.0,500,0.25146556786577373,-1.6664763366091183e-05,13.165515007991843,7.014492827037802,0.576573213819036,,,
R2,Seasonal,0.9213114226067007,0.9862715036875107,0.9394639172616233,36,36,36.0,72.0,500,0.0,0.0,12.55880071361194,10.987329134132827,1.5639355304628741,,,
R3,Stationary_AR,0.14289428025341444,0.4250133419523717,0.4166547715461226,None,21,,,500,0.0,0.0,0.0,0.0,5.0,0.41757093891202923,,
R4,Trending_MeanShift,0.9990295456985825,0.9957434324648022,0.0,None,250,,,500,,,0.0,0.0,1.4272496529078582,,250.0,
R1,Composite,0.9998606512921906,0.9920624320615546,0.8875729601167154,48,50,48.0,96.0,500,-0.3410594322818663,3.5058234327023086e-05,8.993402913684628,3.5310399878482777,0.8197825044370884,,,
R2,Seasonal,0.613128407444795,0.9944782299241142,0.8316322898705847,48,50,48.0,96.0,500,0.0,0.0,20.95800197122751,4.07342224116069,1.4173841001544996,,,
R3,Stationary_WN,0.336073587966365,0.3013437429297221,0.3059389858425976,None,5,,,500,0.0,0.0,0.0,0.0,6.868697733635231,,,
R4,Trending_MeanShift,0.9998547251790558,0.9994193556098198,0.24419450318084546,None,250,,,500,,,0.0,0.0,0.9729601964409745,,250.0,
