True_Regime,Pattern,F_T_STL,F_S_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Composite,0.996044496177844,0.9791919479690284,0.9998540744868254,0.9992263115938002,0.9634539377489221,12,12,12.0,24.0,500,-0.2701272686206392,4.267409550389822e-05,22.151492602399827,6.3130781716323225,0.6262725389837407,,,
R2,Seasonal,0.7367073280373453,0.918798236625967,0.9443097076360747,0.9949062929410384,0.9414739832105298,12,12,12.0,24.0,500,0.0,0.0,13.237445809121569,7.519353328569572,0.9241983282160949,,,
R3,Stationary_AR,0.11234296659747167,0.24058556959668587,0.1668923993452267,0.37576902294506276,0.469004317394049,None,17,,,500,0.0,0.0,0.0,0.0,5.0,0.40867672519175774,,
R4,Trending_RandomWalkDrift,0.8811139383478875,0.7062906610753887,0.4910453881482084,0.0,0.0,None,250,,,500,,,0.0,0.0,0.628674798708618,,,-0.19850528327440223
R1,Composite,0.9957580347217938,0.9726553293662035,0.9997446610417914,0.9983392222920937,0.9406451754119398,12,12,12.0,24.0,500,0.2902588571781083,-3.90436865175105e-05,21.53952637189661,7.02474411168379,0.9448412185048294,,,
R2,Seasonal,0.713672852827864,0.9395446256979719,0.8710581340624188,0.9919252127171381,0.871739600278997,12,12,12.0,24.0,500,0.0,0.0,12.288334624769309,5.476258954035182,1.2080158339519036,,,
R3,Stationary_WN,0.21077290023477846,0.12124582441626341,0.4893901881333854,0.1671448199377783,0.29042983514155907,None,2,,,500,0.0,0.0,0.0,0.0,12.494116631584662,,,
R4,Trending_RandomWalkDrift,0.9844341267195891,0.5686729177858179,0.9997584826129539,0.9893821008680262,0.985383377663017,None,125,,,500,,,0.0,0.0,1.4000034339248404,,,0.43068897712407217
R1,Composite,0.9958164721688559,0.9788599343906822,0.9993822030411452,0.9968842245779994,0.8541535951077758,24,24,24.0,48.0,500,0.19888368279513313,-4.904830103806727e-05,15.696741285143618,3.857635195352916,1.0154168814632776,,,
R2,Seasonal,0.703328630334171,0.918429790168818,0.9647072341496646,0.9976170881496852,0.9726112627502399,24,24,24.0,48.0,500,0.0,0.0,10.65508722282898,5.8844690895321445,0.5411446279423986,,,
R3,Stationary_WN,0.17596416172986884,0.16978856551106658,0.28931736499087024,0.2515883549734026,0.3458914585822428,None,4,,,500,0.0,0.0,0.0,0.0,8.513213713837324,,,
R4,Trending_RandomWalkDrift,0.9938212842396602,0.222823216600176,0.9989241591567597,0.6935401511967105,0.8285289747409572,None,24,,,500,,,0.0,0.0,1.2480057583781856,,,0.23645282217507965
R1,Composite,0.9977014688491236,0.9673958592756535,0.9998181130330769,0.9973720577384172,0.9215755004526762,12,12,12.0,24.0,500,0.37799270311342403,-3.842583436334894e-05,19.193722811199162,6.535363095144325,1.0048022891601622,,,
R2,Seasonal,0.7442986571980471,0.9691607581332052,0.9592644201371595,0.9986191970207224,0.9564746213592276,12,12,12.0,24.0,500,0.0,0.0,28.54395092609939,9.888238804141142,1.1814552330709451,,,
