True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Composite,0.9997636203474101,0.999423376740489,0.967859285528939,24,24,24.0,48.0,500,-0.14058701904959195,-2.9966226529129335e-05,20.111273228010607,4.995222751973639,0.52786614717542,,,
R2,Seasonal,0.7051082942438419,0.8655518326660319,,24,24,24.0,48.0,500,0.0,0.0,15.76109505952015,11.57295836546422,1.0342400479505267,,,
R3,Stationary_AR,0.046392732074752696,0.8816503868375051,,None,250,,,500,0.0,0.0,0.0,0.0,5.0,0.631660463094271,,
R4,Trending_ExponentialGrowth,0.9983956285546695,0.4164624682699266,0.39586224470649,None,24,,,500,,,0.0,0.0,1.1695423568777885,,,
R1,Composite,0.9992674517163764,0.997505371238863,0.7443185823070411,36,36,36.0,72.0,500,0.18322230268798856,-3.349080582631773e-05,18.259177660308893,2.5322022628420013,0.8832514314312205,,,
R2,Seasonal,0.7166160409884583,0.9582160892136566,,36,36,36.0,72.0,500,0.0,0.0,26.991697587245465,10.662694087054238,0.7932619191646503,,,
R3,Stationary_AR,0.03152256177159907,0.6049331671202913,,None,167,,,500,0.0,0.0,0.0,0.0,5.0,0.5994367698525547,,
R4,Trending_RandomWalkDrift,0.6084391957370555,0.20496344947090372,0.0,None,167,,,500,,,0.0,0.0,0.7320037731021378,,,0.3073648207933468
R1,Composite,0.998943460304299,0.9941317954243054,0.8667507242873684,24,24,24.0,48.0,500,-0.22614785512427196,3.105424005607581e-05,17.93368708601882,6.3235936132224335,1.444670246934713,,,
R2,Seasonal,0.6973699096598169,0.9621278215082929,,24,24,24.0,48.0,500,0.0,0.0,26.211184389996937,9.461424887527537,1.1016561225414345,,,
R3,Stationary_AR,0.18837613756486815,0.2866304805698475,,None,18,,,500,0.0,0.0,0.0,0.0,5.0,0.5000244476255011,,
R4,Trending_ExponentialGrowth,0.9991355180035568,0.42661732624473925,0.3160898147723814,None,24,,,500,,,0.0,0.0,0.9383098998797595,,,
R1,Composite,0.9988448156364756,0.9971368499349063,0.8238837411447058,48,50,48.0,96.0,500,-0.17459120729921757,-2.4416326724505772e-05,24.749948763850764,3.1543958811007604,1.0615940233848051,,,
R2,Seasonal,0.5018167046057933,0.9751756547953182,,48,50,48.0,96.0,500,0.0,0.0,23.4475353408388,4.787596323633386,1.2030266775915646,,,
R3,Stationary_WN,0.13348039123499755,0.08002152130654994,,None,3,,,500,0.0,0.0,0.0,0.0,9.026970669463319,,,
R4,Trending_RandomWalkDrift,0.9995736400418582,0.9159499641819384,0.8904077496712026,None,100,,,500,,,0.0,0.0,1.086594045294961,,,0.4436647610046246
R1,Composite,0.9998045219188917,0.9911519142412067,0.9468220279708472,48,50,48.0,96.0,500,0.3527582315818205,-4.379128312301328e-05,10.37171350302106,7.154140435578173,1.0121538386431663,,,
R2,Seasonal,0.007917498817723745,0.9727522611371048,,48,100,48.0,96.0,500,0.0,0.0,15.080518321671008,11.26888260889166,1.5434575669691815,,,
R3,Stationary_WN,0.18284618205122916,0.185680960927607,,None,4,,,500,0.0,0.0,0.0,0.0,6.636123109873289,,,
R4,Trending_RandomWalkDrift,0.9916333132135505,0.0,,None,24,,,500,,,0.0,0.0,1.3119730749732965,,,-0.4060731474492729
R1,Composite,0.9994921362812177,0.9984882938381214,0.8233281412992873,12,12,12.0,24.0,500,-0.1867536581387832,-1.850252195197326e-05,23.239508649364264,3.5530736019362976,0.9348060998469688,,,
R2,Seasonal,0.7540797819129874,0.964475037639086,,12,12,12.0,24.0,500,0.0,0.0,28.12596954170767,10.800749714907504,0.5901980335454826,,,
R3,Stationary_WN,0.15566596913059216,0.1717392346982336,,None,3,,,500,0.0,0.0,0.0,0.0,8.624023366180667,,,
R4,Trending_ExponentialGrowth,0.9901266839138685,0.3653493332340615,0.3358726946304019,None,24,,,500,,,0.0,0.0,0.7738867806093157,,,
R1,Composite,0.9988790404785874,0.9856800304682487,0.617821472619052,36,36,36.0,72.0,500,-0.21844100322534454,1.1525613781750908e-05,12.00505397193997,2.6256881775702796,1.3698285349589039,,,
R2,Seasonal,0.6860377938152482,0.8648685090118579,,36,36,36.0,72.0,500,0.0,0.0,10.442362487424582,7.498593457591753,1.4057093879480456,,,
R3,Stationary_WN,0.19813436208378243,0.1614019442778437,,None,3,,,500,0.0,0.0,0.0,0.0,7.126157093602213,,,
R4,Trending_MeanShift,0.999780689635077,0.9991040725819635,0.0,None,250,,,500,,,0.0,0.0,1.4661506077005546,,250.0,
R1,Composite,0.9997867481409103,0.9993720344232885,0.9266133037206724,24,24,24.0,48.0,500,-0.14685379687123812,-4.50339503085788e-05,19.94822249540685,3.3115514777415624,0.5924639739897873,,,
R2,Seasonal,0.6972559845712683,0.8424043620855488,,24,24,24.0,48.0,500,0.0,0.0,13.434904053775483,10.747683337917936,1.3515798024419603,,,
R3,Stationary_WN,0.11072430440908776,0.07191840052664245,,None,3,,,500,0.0,0.0,0.0,0.0,11.173377190760617,,,
R4,Trending_RandomWalkDrift,0.9882224426486036,0.6932105279227507,0.0,None,250,,,500,,,0.0,0.0,1.0478797582892416,,,0.277278903536082
R1,Composite,0.9996252843063009,0.9856609298880602,0.630858671172555,24,24,24.0,48.0,500,-0.2741813500332969,-3.0104400308951184e-05,9.245969151431098,2.0635837378998323,1.1247854141664737,,,
R2,Seasonal,0.6970065491804398,0.9510098310398312,,24,24,24.0,48.0,500,0.0,0.0,22.28833902952963,9.386892428548105,1.1171209346485358,,,
R3,Stationary_AR,0.15047383501630285,0.27293305192058515,,None,21,,,500,0.0,0.0,0.0,0.0,5.0,0.6457473072916422,,
R4,Trending_MeanShift,0.9997183178404903,0.9988549888253583,0.0,None,250,,,500,,,0.0,0.0,1.4316800205930695,,250.0,
R1,Composite,0.9996593778190248,0.9992881742967251,0.8935207683815223,12,12,12.0,24.0,500,0.17840572546434327,-2.243242829391855e-05,23.5500640011872,3.5442617487493995,0.7081473370520274,,,
R2,Seasonal,0.6341997097424954,0.9768623069594137,,12,12,12.0,24.0,500,0.0,0.0,19.674112919082535,4.470806822894053,1.682532210517596,,,
R3,Stationary_WN,0.1084015240183972,0.1332340813153431,,None,3,,,500,0.0,0.0,0.0,0.0,8.021597020682073,,,
R4,Trending_MeanShift,0.9996993348729082,0.9988383604758799,0.0,None,250,,,500,,,0.0,0.0,0.7290537695738581,,250.0,
R1,Composite,0.9998773351140163,0.9937043877942584,0.9504091954626759,36,36,36.0,72.0,500,0.3934229636775598,-1.8708368509231666e-05,10.910617405001021,6.988953963479625,0.9780644294549606,,,
R2,Seasonal,0.7017136077117639,0.9878228725715741,,36,36,36.0,72.0,500,0.0,0.0,22.113795335006138,4.44003457387264,0.6722315220684689,,,
R3,Stationary_AR,0.04297662856921325,0.2839846951234294,,None,26,,,500,0.0,0.0,0.0,0.0,5.0,0.43365204624328085,,
R4,Trending_ExponentialGrowth,0.9917359359452107,0.3109754665603184,0.2616746827810984,None,24,,,500,,,0.0,0.0,0.8713011058823182,,,
R1,Composite,0.9994829299193768,0.9971582444762486,0.8863878110148253,36,36,36.0,72.0,500,-0.20482532270729295,2.0584659814183144e-05,17.005737462563886,4.734355615845856,0.9793384832640413,,,
R2,Seasonal,0.7149815250271839,0.937806976561025,,36,36,36.0,72.0,500,0.0,0.0,16.27402212094797,7.866014256643522,0.6968933796597125,,,
R3,Stationary_WN,0.21971973837791592,0.17326387901514007,,None,4,,,500,0.0,0.0,0.0,0.0,13.766737614742773,,,
R4,Trending_RandomWalkDrift,0.9633996356119044,0.7510272326959566,0.0,None,250,,,500,,,0.0,0.0,0.710208731620097,,,0.2112082537464106
R1,Composite,0.9988825586934239,0.9952302227071381,0.9009563155318434,24,24,24.0,48.0,500,-0.17404569267996423,-2.732623228882384e-05,18.360353686692495,6.830431895539755,1.341791874755652,,,
R2,Seasonal,0.6934805550051223,0.9611616020058353,,24,24,24.0,48.0,500,0.0,0.0,27.89179674548502,10.041641153366783,1.4210079105610958,,,
R3,Stationary_WN,0.20941531927021328,0.11270169732419644,,None,2,,,500,0.0,0.0,0.0,0.0,9.158393104116065,,,
R4,Trending_MeanShift,0.9999653559520703,0.9998614776096233,0.19384887815342222,None,250,,,500,,,0.0,0.0,0.6733268969939685,,250.0,
R1,Composite,0.9978083897606492,0.9827229151383473,0.8926086706188658,12,12,12.0,24.0,500,-0.1289565924486116,-3.716575150324359e-05,10.721150589736263,7.992887115741018,1.4560769458486136,,,
R2,Seasonal,0.7409321856885368,0.988047367526257,,12,12,12.0,24.0,500,0.0,0.0,27.67833135467211,5.855368056366965,0.697266480641594,,,
R3,Stationary_WN,0.193080505228724,0.11328373011591952,,None,2,,,500,0.0,0.0,0.0,0.0,13.00266200638816,,,
R4,Trending_ExponentialGrowth,0.9998582161059272,0.4508558752546239,0.44290839992403275,None,24,,,500,,,0.0,0.0,0.5532219412111622,,,
R1,Composite,0.9994938136619886,0.9969111748707107,0.7822000569502734,36,36,36.0,72.0,500,0.2388388222512471,-1.3942120022994893e-05,19.077227614611495,3.1504617581884564,1.1038874611911265,,,
R2,Seasonal,0.6725112464683656,0.929049128292084,,36,36,36.0,72.0,500,0.0,0.0,16.09279539860924,7.836857340995576,1.3364349070311783,,,
R3,Stationary_WN,0.14581116909795067,0.18402382697212438,,None,3,,,500,0.0,0.0,0.0,0.0,11.130910952412107,,,
R4,Trending_ExponentialGrowth,0.9967310511570164,0.3819562164733883,0.2798592423374128,None,24,,,500,,,0.0,0.0,0.7990197410071233,,,
R1,Composite,0.999503592114941,0.9956758203493768,0.8956430986939438,48,50,48.0,96.0,500,-0.2668447235204129,-2.026459961869383e-05,19.647453190108727,5.474439401362687,1.256634320636846,,,
R2,Seasonal,0.597240424258727,0.9545846335002941,,48,50,48.0,96.0,500,0.0,0.0,19.919964620965633,6.655485891566695,1.2344726582960484,,,
R3,Stationary_AR,0.093187897972971,0.2128445698514384,,None,22,,,500,0.0,0.0,0.0,0.0,5.0,0.47241260271096086,,
R4,Trending_RandomWalkDrift,0.998751644124455,0.6061170630266604,0.9167399662613701,None,24,,,500,,,0.0,0.0,1.1485001300087543,,,-0.19431840378738913
R1,Composite,0.9998590858530976,0.9974191934837732,0.9252030742045793,12,12,12.0,24.0,500,0.31170804025143184,2.7684583148557093e-05,15.347091979669703,5.430930831872529,0.7614551851106286,,,
R2,Seasonal,0.7237744283961369,0.9704239203847534,,12,12,12.0,24.0,500,0.0,0.0,29.937607772171432,9.48813137612959,1.9235190815760252,,,
R3,Stationary_AR,0.09752392631918683,0.25216164360880333,,None,50,,,500,0.0,0.0,0.0,0.0,5.0,0.6809672460848419,,
R4,Trending_RandomWalkDrift,0.9304435879777679,0.4223508289224336,0.0,None,167,,,500,,,0.0,0.0,1.4128419366040117,,,-0.3653798531442002
R1,Composite,0.9995446138673092,0.9859106191872798,0.9172669149011954,36,36,36.0,72.0,500,-0.23456824891230102,1.952394998013971e-05,8.019535554703525,5.955197179378363,1.0970985770819852,,,
R2,Seasonal,0.583183790293198,0.9259281698056875,,36,36,36.0,72.0,500,0.0,0.0,11.826162862082823,5.044517455466543,1.446059531737415,,,
R3,Stationary_WN,0.11441614371587527,0.0912001024977176,,None,3,,,500,0.0,0.0,0.0,0.0,10.852937467950872,,,
R4,Trending_RandomWalkDrift,0.9998124827030362,0.7972379104125044,0.9312510297792603,None,24,,,500,,,0.0,0.0,0.7211513869017933,,,-0.3077746731364899
R1,Composite,0.9996382897344623,0.9935499281095667,0.7080234123221083,24,24,24.0,48.0,500,0.3265991868251201,2.132916403957241e-05,16.115010554323064,2.9712758594144573,1.3742949202588806,,,
R2,Seasonal,0.7025755917665601,0.9195498190316089,,24,24,24.0,48.0,500,0.0,0.0,20.067010857559566,11.153838896333905,1.0543899643140187,,,
R3,Stationary_WN,0.13772365231802197,0.2580291609502996,,None,5,,,500,0.0,0.0,0.0,0.0,13.93848685794776,,,
R4,Trending_MeanShift,0.9996920732089616,0.9987874116693243,0.04868361596602544,None,250,,,500,,,0.0,0.0,1.4036694258842985,,250.0,
R1,Composite,0.9999366766546424,0.9991756037177374,0.9700686896007894,12,12,12.0,24.0,500,0.34611148591968194,2.28031368591602e-05,20.139373642528835,6.67495471798394,0.5347336816473721,,,
R2,Seasonal,0.7296683308451523,0.9166857987359829,,12,12,12.0,24.0,500,0.0,0.0,17.84456328636697,10.003781196528678,1.613539722081564,,,
R3,Stationary_WN,0.11972337821882562,0.14130988005985856,,None,3,,,500,0.0,0.0,0.0,0.0,8.332615023776498,,,
R4,Trending_RandomWalkDrift,0.9994462184183232,0.8943202015704218,0.9626164859525224,None,100,,,500,,,0.0,0.0,1.2489591116425771,,,0.38245399618896003
R1,Composite,0.9988506635401361,0.9982573653190187,0.8872212441877237,24,24,24.0,48.0,500,-0.13055515127606393,3.4443103160462454e-05,18.733364630887095,3.993690895280103,0.8717526202752042,,,
R2,Seasonal,0.7126894766642682,0.888427245321316,,24,24,24.0,48.0,500,0.0,0.0,17.496218209867536,11.750031432460611,0.5100012880000677,,,
R3,Stationary_AR,0.061480850174735924,0.9388966565675568,,None,250,,,500,0.0,0.0,0.0,0.0,5.0,0.5227279882361752,,
R4,Trending_RandomWalkDrift,0.0,0.01094722690816985,0.0,None,250,,,500,,,0.0,0.0,1.3384362233050418,,,-0.3658537609034441
R1,Composite,0.9995569861623367,0.9950202428773132,0.9055996622206447,48,50,48.0,96.0,500,0.31051691307223317,-3.4091807356789566e-05,18.5521602843126,6.3789503156680265,1.342236277211415,,,
R2,Seasonal,0.6219906897995653,0.9236598685559538,,48,50,48.0,96.0,500,0.0,0.0,13.361208722251554,6.204651765757199,1.1681803682517689,,,
R3,Stationary_WN,0.21824612670333654,0.09161518472151386,,None,3,,,500,0.0,0.0,0.0,0.0,12.528372759618804,,,
