True_Sector,Pattern,F_T_STL,F_S_STL,F_R_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
S1,Composite,0.9981937054067461,0.9674147995611537,0.0,0.9997627684986004,0.9952028938900228,0.8687676000958717,48,50,48.0,96.0,500,0.380384199201913,4.8194611226527765e-05,19.170892584502838,4.614037392067346,1.2300393165618186,,,
S2,Seasonal,0.6103910051867325,0.9525275691445708,0.0,0.8900659673209697,0.996252322835118,0.9294162983925626,48,50,48.0,96.0,500,0.0,0.0,22.661961267148953,7.954190801106171,1.359941567269101,,,
S3,Stationary_AR,0.03866327728546015,0.2416510795651159,0.0,0.07608779982434277,0.41834655724593584,0.501499994889586,None,50,,,500,0.0,0.0,0.0,0.0,5.0,0.42569747487892917,,
S4,Trending_ExponentialGrowth,0.9691567378794556,0.2328946204869684,0.0,0.9814854963278458,0.3923007647446266,0.41542880387434755,None,24,,,500,,,0.0,0.0,1.372753839566128,,,
S1,Composite,0.9623013366390117,0.9507176666589482,0.0,0.9983855821652294,0.9980088945825415,0.9615822374345846,36,36,36.0,72.0,500,0.11731087852476967,-3.308490344153283e-05,18.574672560306894,7.954653736248674,0.8863231730764659,,,
S2,Seasonal,0.6513601222784484,0.9771156214959106,0.0,0.7898290441079014,0.9964200145096253,0.8472881281987173,36,36,36.0,72.0,500,0.0,0.0,26.656638037381516,6.899450580926633,1.795462131944924,,,
S3,Stationary_WN,0.14727454649410088,0.2236290553466569,0.0,0.3360742106624446,0.28444356546951044,0.26318392931780943,None,4,,,500,0.0,0.0,0.0,0.0,6.259551963793583,,,
S4,Trending_RandomWalkDrift,0.9961474218967216,0.20644999759478666,0.0,0.9994045092106637,0.6405062829175054,0.8476436685437261,None,24,,,500,,,0.0,0.0,0.8440916178494421,,,-0.30821753492194337
S1,Composite,0.9932789841683167,0.9105167860358625,0.0,0.9997304374899609,0.9961778378185647,0.960590218651381,12,12,12.0,24.0,500,-0.183702487104339,3.8360060453055185e-05,8.934427216276974,5.4712509092211885,0.5825721580352772,,,
S2,Seasonal,0.7004046056198292,0.9807315687794811,0.0,0.8485304147538386,0.9971832454527917,0.8563030835422172,12,12,12.0,24.0,500,0.0,0.0,28.943058720127095,7.251701743616578,1.6577540528451649,,,
S3,Stationary_WN,0.11317634928144671,0.27839901314893223,0.0,0.1779110851798722,0.40152110595795054,0.32764554816035163,None,11,,,500,0.0,0.0,0.0,0.0,9.74721127128213,,,
S4,Trending_RandomWalkDrift,0.99819859661116,0.10922891734253504,0.0,0.9997313543821675,0.5981580607873453,0.8516939251058625,None,24,,,500,,,0.0,0.0,1.3194278536703652,,,0.46223285502925293
S1,Composite,0.9972240031683389,0.9913328904590302,0.0,0.9987809423236633,0.9962025882659827,0.5622085584329997,24,24,24.0,48.0,500,0.2037485710928782,-2.1910166146889776e-05,22.266535201670802,2.1919667608659483,1.4401798347292414,,,
S2,Seasonal,0.6877429301931416,0.9769487332740446,0.0,0.9157441442192096,0.9985393802205379,0.9375932968903506,24,24,24.0,48.0,500,0.0,0.0,23.760610379039626,6.554535040170992,0.8783036032389964,,,
