True_Quadrant,Pattern,F_T,F_S,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
Q1,Trend+MultiSeason,0.9999981703779344,0.46981215441988067,36,24,36.0,72.0,300,0.3389628960580699,3.5116496156752577,18.14645268509028,4.674996517121547,0.5999749158180029,,,
Q2,Pure_MultiSeason,0.24981119734412915,0.9672940207398647,36,38,36.0,72.0,300,0.0,0.0,28.732963037114146,4.31349061340517,1.1269190475733681,,,
Q3,Stationary_AR,0.0,0.3609321933311107,None,150,,,300,0.0,0.0,0.0,0.0,5.0,0.6287376057222072,,
Q4,PureTrend_Exponential,0.9782654297364901,0.26929545338765637,None,24,,,300,,,0.0,0.0,0.8766953619867988,,,
Q1,Trend+MultiSeason,0.9999982666067575,0.48806516646724607,36,24,36.0,72.0,300,-0.3341576545731586,-3.5115213280089326,15.203550312028968,6.005299395748823,0.5955353138346682,,,
Q2,Pure_MultiSeason,0.6164007895412069,0.9428276259515314,36,38,36.0,72.0,300,0.0,0.0,29.966950227858995,11.46490665074846,1.4638477993027874,,,
Q3,Stationary_AR,0.0,0.3882996671614499,None,150,,,300,0.0,0.0,0.0,0.0,5.0,0.489018292331227,,
Q4,PureTrend_Break,0.9999865241289126,0.9999463481322531,None,150,,,300,,,0.0,0.0,0.7655828329586061,,150.0,
Q1,Trend+MultiSeason,0.9999982229594283,0.47553220572892574,48,24,48.0,96.0,300,-0.35839588774452724,2.447453644900397,15.452544660522943,7.977573719149261,0.7291719512141621,,,
Q2,Pure_MultiSeason,0.6345509469367921,0.9092505226412952,48,50,48.0,96.0,300,0.0,0.0,22.780643178298416,11.62828078281207,1.8224234598169964,,,
Q3,Stationary_AR,0.04806089146636383,0.24883920752536104,None,150,,,300,0.0,0.0,0.0,0.0,5.0,0.602746877531222,,
Q4,PureTrend_Exponential,0.9953593678570106,0.20116184872404463,None,24,,,300,,,0.0,0.0,0.5767228268528852,,,
Q1,Trend+MultiSeason,0.9999982359089085,0.48937389485017935,24,24,24.0,48.0,300,0.17569442084054593,3.176777198878561,8.911791455854125,6.304789943671473,0.9754757152327337,,,
Q2,Pure_MultiSeason,0.5795460281865012,0.9733281151522355,24,25,24.0,48.0,300,0.0,0.0,22.01166393974272,5.330042642797605,1.0696061072324732,,,
Q3,Stationary_WN,0.0770603738740272,0.2836862101655552,None,18,,,300,0.0,0.0,0.0,0.0,12.472975575598568,,,
Q4,PureTrend_Exponential,0.9987043345606743,0.03341831580629917,None,24,,,300,,,0.0,0.0,0.66653851349727,,,
Q1,Trend+MultiSeason,0.9999981130897345,0.45952562342490444,36,24,36.0,72.0,300,-0.13304268487568993,0.9726178490318039,8.266830395136754,4.16059778469268,0.5898221294256047,,,
Q2,Pure_MultiSeason,0.6451534758602875,0.9082738764895179,36,38,36.0,72.0,300,0.0,0.0,18.067286100527063,9.411777147939288,0.7848991493455387,,,
Q3,Stationary_AR,0.20629638636776226,0.3939914673782028,None,18,,,300,0.0,0.0,0.0,0.0,5.0,0.6842870975562001,,
Q4,PureTrend_RandomWalk,0.9982273891297805,0.9382117594880592,None,150,,,300,,,0.0,0.0,0.7747050328071436,,,-0.4551006098686753
Q1,Trend+MultiSeason,0.9999982360642002,0.49975014843285914,12,24,12.0,24.0,300,0.38940714364853835,-1.8484525302127321,23.938355735924755,5.179253753109236,1.114903014566936,,,
Q2,Pure_MultiSeason,0.7483577447259319,0.9513406344932099,12,12,12.0,24.0,300,0.0,0.0,12.836887952339705,5.710409685301863,0.6582704696018016,,,
Q3,Stationary_WN,0.22687918673947316,0.24776346745261235,None,4,,,300,0.0,0.0,0.0,0.0,6.556479927615908,,,
Q4,PureTrend_Break,0.999907786308952,0.9996308274730198,None,150,,,300,,,0.0,0.0,0.9179992169203516,,150.0,
Q1,Trend+MultiSeason,0.9999981977785504,0.47063332724694085,48,24,48.0,96.0,300,-0.13794407700739286,2.091036917260565,22.297764702713526,5.080987768051143,0.6391600109079618,,,
Q2,Pure_MultiSeason,0.4767745761949853,0.9414994037456004,48,50,48.0,96.0,300,0.0,0.0,18.542650620967827,5.8683344154109465,1.9917886225745502,,,
Q3,Stationary_WN,0.029554412550060194,0.0,None,2,,,300,0.0,0.0,0.0,0.0,13.860739670955251,,,
Q4,PureTrend_Break,0.9999433338477125,0.9997724955334175,None,150,,,300,,,0.0,0.0,0.6588526919439558,,150.0,
Q1,Trend+MultiSeason,0.9999981990258181,0.47391696590285115,36,24,36.0,72.0,300,0.1936358396017614,4.1731626856401265,14.132711665938558,6.015987072216434,1.132593268304997,,,
Q2,Pure_MultiSeason,0.6303018181001909,0.9142250733429006,36,38,36.0,72.0,300,0.0,0.0,13.493987028417969,6.603239698636697,0.7991605055198299,,,
Q3,Stationary_WN,0.2564277697468794,0.1865884816725376,None,3,,,300,0.0,0.0,0.0,0.0,10.092115852460426,,,
Q4,PureTrend_Break,0.999931363593026,0.9997247201181231,None,150,,,300,,,0.0,0.0,1.011004763544587,,150.0,
Q1,Trend+MultiSeason,0.999998240259068,0.49280430385761176,12,24,12.0,24.0,300,0.2049992568572855,2.114162258957237,22.70013736888014,2.4024059092417334,1.150307157307256,,,
Q2,Pure_MultiSeason,0.7567519636929122,0.9687352081820076,12,12,12.0,24.0,300,0.0,0.0,28.31900941024689,10.227944795627032,0.5845672869358287,,,
Q3,Stationary_WN,0.014078748266617369,0.32985623832453503,None,27,,,300,0.0,0.0,0.0,0.0,6.925760973468403,,,
Q4,PureTrend_Exponential,0.988812329051526,0.21363920811130788,None,24,,,300,,,0.0,0.0,1.4445603702671477,,,
Q1,Trend+MultiSeason,0.9999982422789896,0.4843458486779716,12,24,12.0,24.0,300,-0.3775989210623796,-1.6557533090238532,8.812788082942156,3.4787592178250306,0.6431975038802421,,,
Q2,Pure_MultiSeason,0.7491923942680273,0.96534604628561,12,12,12.0,24.0,300,0.0,0.0,29.738073328705113,11.095459170537376,1.1162647662213645,,,
Q3,Stationary_WN,0.07726179863842475,0.1073539570390144,None,2,,,300,0.0,0.0,0.0,0.0,12.821012254841065,,,
Q4,PureTrend_RandomWalk,0.9637046860906517,0.8951814992621265,None,150,,,300,,,0.0,0.0,0.8424999930081374,,,0.1307397847444937
Q1,Trend+MultiSeason,0.9999982298864585,0.4770721596101022,48,24,48.0,96.0,300,0.21066538671220172,3.7169644138837517,18.8549257852583,7.389554502048947,1.1298837036711995,,,
Q2,Pure_MultiSeason,0.5446880997521184,0.7666378130075624,48,50,48.0,96.0,300,0.0,0.0,10.90955902612074,8.713607254110824,1.5828859548934,,,
Q3,Stationary_AR,0.18917624363468766,0.38557013009967267,None,20,,,300,0.0,0.0,0.0,0.0,5.0,0.4494318405735658,,
Q4,PureTrend_RandomWalk,0.9980330379478533,0.9493462646669679,None,150,,,300,,,0.0,0.0,0.8358543158608321,,,0.17277656069937347
Q1,Trend+MultiSeason,0.999998241778561,0.48513499955636286,12,24,12.0,24.0,300,0.14963249200566334,3.847302019210235,23.360910750127907,2.596996485539694,1.156161806444877,,,
Q2,Pure_MultiSeason,0.7283157456095555,0.9857104570108051,12,12,12.0,24.0,300,0.0,0.0,23.116687752348106,5.240748850168019,0.9019946731930455,,,
Q3,Stationary_WN,0.06037331173760763,0.2538290209412747,None,10,,,300,0.0,0.0,0.0,0.0,9.01453820303772,,,
Q4,PureTrend_RandomWalk,0.992789925536451,0.17422624856709923,None,24,,,300,,,0.0,0.0,1.0046246829316976,,,0.24675826474615004
Q1,Trend+MultiSeason,0.9999982618673452,0.48743237554045926,36,24,36.0,72.0,300,0.37023460005652764,-3.774444754551123,14.38006728134304,6.303794910125206,0.8952884610696098,,,
Q2,Pure_MultiSeason,0.5686019199994279,0.9081482778212062,36,38,36.0,72.0,300,0.0,0.0,19.3017732582909,8.509617755345534,1.9998071574112006,,,
Q3,Stationary_AR,0.186313371792882,0.2954808246315921,None,15,,,300,0.0,0.0,0.0,0.0,5.0,0.43856547935813484,,
Q4,PureTrend_RandomWalk,0.9557022625281184,0.5138444277708425,None,75,,,300,,,0.0,0.0,0.6818221613148979,,,0.3405000789888707
Q1,Trend+MultiSeason,0.9999982355349755,0.5035231008887602,24,24,24.0,48.0,300,0.10471600309103496,2.692521876367181,17.59424193961408,7.664399895582378,1.4478520730718336,,,
Q2,Pure_MultiSeason,0.6641578845313834,0.9612954243581884,24,25,24.0,48.0,300,0.0,0.0,27.630916750809135,9.256592722153698,0.9432632825716902,,,
Q3,Stationary_WN,0.05024597624780858,0.09090089806647372,None,3,,,300,0.0,0.0,0.0,0.0,13.111276040639737,,,
Q4,PureTrend_RandomWalk,0.9461323152276052,0.3000945888192441,None,50,,,300,,,0.0,0.0,0.9660341195000369,,,-0.313582563432225
Q1,Trend+MultiSeason,0.9999981918367623,0.47339683546866707,36,24,36.0,72.0,300,-0.2883615342808316,3.915150955982582,15.220132503504235,5.50351027125389,1.1197120567473473,,,
Q2,Pure_MultiSeason,0.22458785228592737,0.94062210580728,36,38,36.0,72.0,300,0.0,0.0,26.770743795951958,5.450539808656819,1.4084169612299653,,,
Q3,Stationary_WN,0.07395547745671027,0.14501149900358457,None,4,,,300,0.0,0.0,0.0,0.0,14.876991927610826,,,
Q4,PureTrend_RandomWalk,0.701530681815141,0.38545004040119446,None,75,,,300,,,0.0,0.0,1.0547463038319256,,,0.16779530996802267
Q1,Trend+MultiSeason,0.999998239848884,0.4834438561487867,48,24,48.0,96.0,300,-0.35222384640604454,-4.245203115846026,12.431511156186271,4.359330552825417,1.0049477627900845,,,
Q2,Pure_MultiSeason,0.6770701123292406,0.9364123611935986,48,50,48.0,96.0,300,0.0,0.0,17.3827181592827,7.991302986316607,0.8171892640803301,,,
Q3,Stationary_WN,0.16352230354089414,0.21206398783667146,None,4,,,300,0.0,0.0,0.0,0.0,5.394812947733848,,,
Q4,PureTrend_Exponential,0.9961359856699344,0.18559570547369053,None,24,,,300,,,0.0,0.0,0.5244861107186907,,,
Q1,Trend+MultiSeason,0.9999982398247936,0.48338949116790497,48,24,48.0,96.0,300,-0.3092276374466666,-3.7320343934355007,8.497783541058485,4.6385851701706535,1.0109918499799178,,,
Q2,Pure_MultiSeason,0.6570579045704709,0.9511058727011272,48,50,48.0,96.0,300,0.0,0.0,28.128926369476495,10.846717003959355,1.2740263151264448,,,
Q3,Stationary_AR,0.34898687597870104,0.2852495026696946,None,9,,,300,0.0,0.0,0.0,0.0,5.0,0.4768025254450671,,
Q4,PureTrend_RandomWalk,0.9974732469082592,0.9445241233852029,None,150,,,300,,,0.0,0.0,0.7202861677467326,,,-0.40119242959047874
Q1,Trend+MultiSeason,0.9999982401967339,0.48694973538442465,12,24,12.0,24.0,300,0.30313479153447787,2.9413889974814484,21.90384197756675,5.396324936516319,1.3478844173175661,,,
Q2,Pure_MultiSeason,0.7461542623550317,0.9139435380094483,12,12,12.0,24.0,300,0.0,0.0,11.89121950534936,7.230637571557371,0.7992271872869727,,,
Q3,Stationary_WN,0.08637827581892521,0.23196915058926304,None,13,,,300,0.0,0.0,0.0,0.0,5.664482768612818,,,
Q4,PureTrend_Break,0.9999416238038608,0.9997670636970442,None,150,,,300,,,0.0,0.0,1.4078046114473945,,150.0,
Q1,Trend+MultiSeason,0.9999982404008078,0.46709968646710953,24,24,24.0,48.0,300,0.36857246330185234,-3.214496627173463,19.87825088049148,4.762884941052553,0.9348382473026648,,,
Q2,Pure_MultiSeason,0.6732325896619613,0.9406917795118446,24,23,24.0,48.0,300,0.0,0.0,22.953708381659883,9.395977841652902,1.8093582013083787,,,
Q3,Stationary_AR,0.33251890024815633,0.30237210724067576,None,24,,,300,0.0,0.0,0.0,0.0,5.0,0.6667212776464491,,
Q4,PureTrend_Break,0.9996350697681213,0.9985287813463151,None,150,,,300,,,0.0,0.0,1.1400030784119362,,150.0,
Q1,Trend+MultiSeason,0.9999982723647353,0.48981712950465706,36,24,36.0,72.0,300,0.1061839476507594,-2.8325300831887135,20.906530861121766,2.6802444884565824,1.4905648748916949,,,
Q2,Pure_MultiSeason,0.6522397306265921,0.8929434938955794,36,38,36.0,72.0,300,0.0,0.0,19.64637160135194,11.209706878034694,1.2647121212717396,,,
Q3,Stationary_WN,0.06318300799085652,0.2379261950963827,None,14,,,300,0.0,0.0,0.0,0.0,14.768596478129549,,,
Q4,PureTrend_Exponential,0.9957873641898543,0.23615463871547604,None,24,,,300,,,0.0,0.0,1.46477391922877,,,
Q1,Trend+MultiSeason,0.9999982025812755,0.5295018478826348,24,24,24.0,48.0,300,-0.27540786257451466,0.8973138167566195,12.282823679599158,7.417477012123508,1.2663857500825573,,,
Q2,Pure_MultiSeason,0.6662421805894282,0.9376540646395304,24,25,24.0,48.0,300,0.0,0.0,12.234245642048371,5.220617534758469,0.8702273837674168,,,
Q3,Stationary_AR,0.003159045795840587,0.4825578376856432,None,150,,,300,0.0,0.0,0.0,0.0,5.0,0.6870712530363239,,
Q4,PureTrend_Break,0.9998860922747602,0.9995431904222741,None,150,,,300,,,0.0,0.0,1.1057374006205105,,150.0,
Q1,Trend+MultiSeason,0.999998239627324,0.4887272378563252,24,24,24.0,48.0,300,0.22503715352281778,4.36089937518766,10.196087894782655,5.469025792843268,1.2924599925459974,,,
Q2,Pure_MultiSeason,0.6691517030863954,0.9192269487722846,24,25,24.0,48.0,300,0.0,0.0,10.138251823393347,5.071432219437523,0.6796597377497835,,,
Q3,Stationary_AR,0.03483192456855044,0.2836814604451089,None,38,,,300,0.0,0.0,0.0,0.0,5.0,0.5781381828763231,,
Q4,PureTrend_Break,0.9999913583211272,0.9999653108705008,None,150,,,300,,,0.0,0.0,0.7797261341052517,,150.0,
Q1,Trend+MultiSeason,0.9999982434663411,0.4996768322798866,12,24,12.0,24.0,300,-0.19680510839511545,-1.9585869690991506,24.684401591131117,3.1039835677163836,0.7754261860026169,,,
