True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P
R1,Trend+MultiSeason,0.9967710495948978,0.9930559039170926,0.8871097102239958,36,36
R2,Pure_MultiSeason,0.9054640040634561,0.9974365489608485,0.9226720686262795,36,36
R3,Stationary_AR,0.12335517041701749,0.5529222376778605,0.6083127972702039,None,36
R4,PureTrend_Break,0.9999685403059214,0.9998744972501583,0.0,None,250
R1,Trend+MultiSeason,0.9998655998404753,0.998852483006019,0.9366208460803923,12,12
R2,Pure_MultiSeason,0.9603390463697824,0.998966022530278,0.9572484856283049,12,12
R3,Stationary_WN,0.5179815026657779,0.2262070367227912,0.2613004641473876,None,2
R4,PureTrend_Break,0.9999647568665863,0.9998584554589058,0.0,None,250
R1,Trend+MultiSeason,0.9972188143917914,0.9842580386570462,0.851572522332372,48,50
R2,Pure_MultiSeason,0.7801189757089091,0.9698567053373802,0.8336868228148527,48,50
R3,Stationary_WN,0.3317795084659749,0.3091243466635324,0.3100498627228436,None,5
R4,PureTrend_RandomWalk,0.8917617541950592,0.015099270930630682,0.0,None,167
R1,Trend+MultiSeason,0.9997704112879569,0.9961542791280756,0.793465311645868,48,50
R2,Pure_MultiSeason,0.8946435998760165,0.9937102336697329,0.9302655705652778,48,50
R3,Stationary_AR,0.0,0.0762512437160372,0.0,None,167
R4,PureTrend_Break,0.9962633101075613,0.9844123550308952,0.0,None,250
R1,Trend+MultiSeason,0.9997784855468351,0.9975579913517728,0.9616696258502054,12,12
R2,Pure_MultiSeason,0.9601467513056419,0.9978118152443354,0.9567172406192038,12,12
R3,Stationary_WN,0.4071195632388104,0.11616878422510346,0.32762233477181646,None,3
R4,PureTrend_RandomWalk,0.8095193516398713,0.9252254512431488,0.8501679535627373,None,167
R1,Trend+MultiSeason,0.9997411904026474,0.9951744852505392,0.8077742306011105,24,24
R2,Pure_MultiSeason,0.9371702087302076,0.9986414790662714,0.9509769717585275,24,24
R3,Stationary_AR,0.30768706845757543,0.5695566628648803,0.7300024235672631,None,29
R4,PureTrend_Exponential,0.9989008205000341,0.32483936901220944,0.27353587760544784,None,24
