True_Regime,Pattern,F_T,F_S,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Trend+MultiSeason,0.9913256858640416,0.9876005939985695,12,12,12.0,24.0,500,-0.13805175830907127,1.4247977617959135e-05,22.294407093610765,3.3390310603848885,1.3955041319439474,,,
R2,Pure_MultiSeason,0.7435833308056294,0.9002371345056559,12,12,12.0,24.0,500,0.0,0.0,14.743904077460051,9.684062590014623,1.0050482411305248,,,
R3,Stationary_WN,0.14034204524692362,0.12972552138290772,None,4,,,500,0.0,0.0,0.0,0.0,14.374378151840823,,,
R4,PureTrend_Break,0.9999215480950484,0.9996860625044576,None,250,,,500,,,0.0,0.0,1.4344724575480172,,250.0,
R1,Trend+MultiSeason,0.9930836379570882,0.946879693532617,12,12,12.0,24.0,500,0.18097902135844876,-3.635785766437645e-05,11.789146287421673,5.461118141520644,0.6314104197279914,,,
R2,Pure_MultiSeason,0.7239680017581136,0.8908333256357192,12,12,12.0,24.0,500,0.0,0.0,10.737005268539235,7.04777134254181,1.105135671323318,,,
R3,Stationary_WN,0.015000909849374966,0.3070070361408832,None,100,,,500,0.0,0.0,0.0,0.0,12.036442432035567,,,
R4,PureTrend_Break,0.999978370407618,0.9999137126062727,None,250,,,500,,,0.0,0.0,0.7686273972880541,,250.0,
R1,Trend+MultiSeason,0.9811077847153223,0.9826194005268947,36,36,36.0,72.0,500,-0.10295422419845887,-1.7620983698601106e-05,24.28644725226456,4.9131976272690165,1.4848680562655574,,,
R2,Pure_MultiSeason,0.5749106149129878,0.8928842356148395,36,36,36.0,72.0,500,0.0,0.0,10.324918867500676,5.031791672831798,1.6002950718071858,,,
R3,Stationary_AR,0.2298004407373171,0.3747121151342738,None,28,,,500,0.0,0.0,0.0,0.0,5.0,0.6853382095657512,,
R4,PureTrend_RandomWalk,0.9927596013401945,0.8061687120898308,None,167,,,500,,,0.0,0.0,1.0143078125151264,,,0.28047427750672305
R1,Trend+MultiSeason,0.9946837413892007,0.9427468868604985,48,50,48.0,96.0,500,-0.20498915873534734,-4.6936377984789646e-05,13.67759676455983,4.256227443918361,1.405298614379384,,,
R2,Pure_MultiSeason,0.66914272563124,0.9379089298650964,48,50,48.0,96.0,500,0.0,0.0,23.349519455659497,10.50083990129896,0.7099435484177434,,,
R3,Stationary_WN,0.24804682458278404,0.1452355045777851,None,2,,,500,0.0,0.0,0.0,0.0,7.261950182952792,,,
R4,PureTrend_Break,0.9999895095861823,0.9999581628851119,None,250,,,500,,,0.0,0.0,0.5599662273730267,,250.0,
R1,Trend+MultiSeason,0.9973850961869564,0.9491346440108702,12,12,12.0,24.0,500,0.1959935040684288,3.2527141261842036e-05,9.580085259866761,2.9041976821752993,1.3678873147547446,,,
R2,Pure_MultiSeason,0.7472944396306347,0.8564250722071389,12,12,12.0,24.0,500,0.0,0.0,14.731217655380993,11.877797442822418,1.1026834070088245,,,
R3,Stationary_AR,0.06513960496128957,0.24088568473950311,None,56,,,500,0.0,0.0,0.0,0.0,5.0,0.5107728851091524,,
R4,PureTrend_Exponential,0.9873026093769074,0.14751931296176435,None,24,,,500,,,0.0,0.0,1.2366541708262577,,,
R1,Trend+MultiSeason,0.9978802430700657,0.9277715324027325,48,50,48.0,96.0,500,0.3786128810666446,4.053337517898238e-05,13.529187268893642,6.06128064022454,1.3201205549799222,,,
R2,Pure_MultiSeason,0.3499856271086652,0.9764922061049567,48,50,48.0,96.0,500,0.0,0.0,29.19032857853142,4.961264575508181,0.7563199616210359,,,
R3,Stationary_WN,0.17553292780175533,0.2231035075317469,None,4,,,500,0.0,0.0,0.0,0.0,8.030968021826487,,,
R4,PureTrend_RandomWalk,0.99688569328547,0.19528316475704433,None,24,,,500,,,0.0,0.0,0.5643293487958444,,,-0.3801099659033935
R1,Trend+MultiSeason,0.9977504722264606,0.9573379990519064,36,36,36.0,72.0,500,-0.27575108503331114,-4.965766638712721e-05,13.848127499626315,5.337576034163301,0.6417442220058626,,,
R2,Pure_MultiSeason,0.6763363919650496,0.9667218468880729,36,36,36.0,72.0,500,0.0,0.0,27.208311143713843,8.825158022728974,1.716205195242985,,,
R3,Stationary_AR,0.10263205739263226,0.29937781298253263,None,25,,,500,0.0,0.0,0.0,0.0,5.0,0.48096054175737885,,
R4,PureTrend_Exponential,0.99971167979917,0.2553834744589851,None,24,,,500,,,0.0,0.0,0.678283718271058,,,
R1,Trend+MultiSeason,0.9952310142594549,0.9820465491111257,12,12,12.0,24.0,500,0.17558423013371754,-2.5711979418303992e-05,17.021618765185927,3.752618661730004,1.0432667732685306,,,
R2,Pure_MultiSeason,0.6999222234471992,0.8863847072024463,12,12,12.0,24.0,500,0.0,0.0,11.65772934441071,7.437695908718415,1.6043549963347041,,,
R3,Stationary_WN,0.21501377421957757,0.12054675304622575,None,2,,,500,0.0,0.0,0.0,0.0,9.972940820356726,,,
R4,PureTrend_Break,0.9999096788149017,0.9996364227152023,None,250,,,500,,,0.0,0.0,1.16720939596328,,250.0,
R1,Trend+MultiSeason,0.997898888774376,0.9738065474322793,12,12,12.0,24.0,500,-0.3917521973280328,-1.574080291829499e-05,22.853452217270103,6.91746172515332,1.2860687808966849,,,
R2,Pure_MultiSeason,0.7533201953284386,0.9377445968031363,12,12,12.0,24.0,500,0.0,0.0,19.956001353964048,10.321437860975905,0.6344480914491765,,,
R3,Stationary_AR,0.04838309176555289,0.12568295700637255,None,71,,,500,0.0,0.0,0.0,0.0,5.0,0.6386315177011019,,
R4,PureTrend_Exponential,0.9643817108772677,0.2322041316277037,None,24,,,500,,,0.0,0.0,1.4789133802198908,,,
R1,Trend+MultiSeason,0.997497329325335,0.962683868063979,36,36,36.0,72.0,500,0.3050392412122661,1.5678339998617417e-05,16.30800010614848,5.943083275673007,0.7502205792056952,,,
R2,Pure_MultiSeason,0.5267082776379375,0.9725729635890077,36,36,36.0,72.0,500,0.0,0.0,18.341291595290418,4.084232104015213,1.6836925666764984,,,
R3,Stationary_WN,0.07619051378001551,0.12638418124506168,None,3,,,500,0.0,0.0,0.0,0.0,9.026843568896684,,,
R4,PureTrend_Exponential,0.9803915825457415,0.1470431514093039,None,24,,,500,,,0.0,0.0,1.2600218224231965,,,
R1,Trend+MultiSeason,0.9939572632806852,0.9698111923101148,48,50,48.0,96.0,500,0.21583993007207128,4.66294506624763e-05,21.919702475975946,6.229999424625196,0.744473991177949,,,
R2,Pure_MultiSeason,0.6059748119982626,0.91709829974389,48,50,48.0,96.0,500,0.0,0.0,16.258275576558418,7.487514465025462,1.986710586609347,,,
R3,Stationary_WN,0.2201387451015414,0.09770193427272855,None,2,,,500,0.0,0.0,0.0,0.0,8.075166144850504,,,
R4,PureTrend_Exponential,0.9887961261230289,0.22813039386571665,None,24,,,500,,,0.0,0.0,1.4163710886543956,,,
R1,Trend+MultiSeason,0.997118156179111,0.9723335253207552,36,36,36.0,72.0,500,0.23596097675303904,-3.598748358055981e-05,14.154987505236878,4.08349560807333,0.7498826421894967,,,
R2,Pure_MultiSeason,0.7094323055776914,0.9638336856377719,36,36,36.0,72.0,500,0.0,0.0,17.65345899109618,6.451494600585113,0.6358186348490472,,,
R3,Stationary_AR,0.20735970547577898,0.15392821297793402,None,15,,,500,0.0,0.0,0.0,0.0,5.0,0.44240034134256434,,
R4,PureTrend_Exponential,0.9986251637345743,0.2710199002524424,None,24,,,500,,,0.0,0.0,0.9068981163110197,,,
R1,Trend+MultiSeason,0.9994489032836887,0.9903796910323525,24,24,24.0,48.0,500,0.2559604263817843,1.317842952365294e-05,12.784372820173104,2.0144076777036855,0.5964238681527709,,,
R2,Pure_MultiSeason,0.6803089512444975,0.9463646631353434,24,24,24.0,48.0,500,0.0,0.0,17.43735623371223,7.311718108154023,1.3290460028480924,,,
R3,Stationary_AR,0.10383621999087811,0.3111796086535005,None,36,,,500,0.0,0.0,0.0,0.0,5.0,0.539688050183124,,
R4,PureTrend_Exponential,0.9839098224768709,0.2811033546116818,None,24,,,500,,,0.0,0.0,1.262489254702539,,,
